年份,子赛事,学校,队伍名称,OS,查重分支,终选repo,初赛fork版,初赛fork版访问情况,源地址,源地址访问情况,决赛fork版,决赛fork版访问情况,备注
2025,内核实现赛道（中西部区域赛）,武汉大学,别panic,OSKernel2025-PanicNo-984,main,,,空,,空,https://gitlab.eduxiji.net/educg-group-38066-3006609/T202510486997559-984,可访问,
2025,内核实现赛道（中西部区域赛）,武汉大学,达达乐队,TCC,main,,,空,https://gitlab.eduxiji.net/T202510486998211/OSTCC,未复查；由fork上游补出,https://gitlab.eduxiji.net/educg-group-38066-3006609/T202510486998211-1992,可访问,
2025,内核实现赛道（中西部区域赛）,武汉大学,进击的内核,OSKernel2025-进击的内核,main,,,空,https://gitlab.eduxiji.net/T202510486998178/oskernel2025-t202510486998178,未复查；由fork上游补出,https://gitlab.eduxiji.net/educg-group-38066-3006609/T202510486998178-475,可访问,
2025,内核实现赛道,西安电子科技大学,广告位招租,NPUcore-Aspera,main,,,空,https://gitlab.eduxiji.net/T202510701995284/oskernel2025-npucore-aspera,可访问,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510701995284-398,可访问,
2025,内核实现赛道（中西部区域赛）,西安交通大学,404notfound队,OSKernel2025-404notfound队,main,,,空,https://gitlab.eduxiji.net/T202510698998196/oskernel2025-t202510698998196,未复查；由fork上游补出,https://gitlab.eduxiji.net/educg-group-38066-3006609/T202510698998196-10,可访问,
2025,内核实现赛道,西北工业大学,西北工业大学一二三队,OSKernel2025-西北工业大学一二三队,2025_final_on_site,,,空,https://gitlab.eduxiji.net/T202510699995276/os_comp_2025,可访问,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510699995276-827,可访问,
2025,内核实现赛道,西北工业大学,NPUcore-BLOSSOM,NPUcore-BLOSSOM,onSiteFinal,,,空,,空,https://gitlab.eduxiji.net/educg-group-36002-2710490/oskernel2025-npucore-blossom,可访问,
2025,内核实现赛道（中西部区域赛）,西北工业大学,litangzhiwang,Kindred ,la,,,空,https://gitlab.eduxiji.net/T202510699997579/kindred_king,未复查；由fork上游补出,https://gitlab.eduxiji.net/educg-group-38066-3006609/T202510699997579-3142,可访问,
2025,内核实现赛道（中西部区域赛）,西北工业大学,翱翔大飞机,OSKernel2025-rrrrrzy,main,,,空,,空,https://gitlab.eduxiji.net/educg-group-38066-3006609/T202510699997586-594,可访问,
2025,内核实现赛道（中西部区域赛）,西北工业大学,HHH,NPUcore-HHH,la64_comp,,,空,https://gitlab.eduxiji.net/T202510699997598/oskernel2025-hhh,未复查；由fork上游补出,https://gitlab.eduxiji.net/educg-group-38066-3006609/T202510699997598-2620,可访问,
2025,内核实现赛道（中西部区域赛）,西北工业大学,西北工业大学25队,OSKernel2025-NPUcore-Test,for_first_test,,,空,https://gitlab.eduxiji.net/T202510699997589/test,未复查；由fork上游补出,https://gitlab.eduxiji.net/educg-group-38066-3006609/T202510699997589-2461,可访问,
2025,内核实现赛道（中西部区域赛）,西北工业大学,专业团队,OSKernel2025-xuxuxuwei,main,,,空,https://gitlab.eduxiji.net/T202510699997577/oskernel,未复查；由fork上游补出,https://gitlab.eduxiji.net/educg-group-38066-3006609/T202510699997577-535,可访问,
2025,内核实现赛道,燕山大学,模仿游戏,freeOS,main,,,空,https://gitlab.eduxiji.net/T202510216995249/oskernel2025-freeos,可访问,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510216995249-4014,可访问,
2025,内核实现赛道,郑州大学,NexusOS,NexusOS,main,,,空,https://gitlab.eduxiji.net/T202510459995282/oskernel2024-nexusos,可访问,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510459995282-239,可访问,
2025,内核实现赛道,中山大学,KernalCraft,Explosion,main,,,空,https://gitlab.eduxiji.net/T202510558995240/oskernel2025-konosuba,可访问,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510558995240-2536,可访问,
2025,内核实现赛道,中山大学,静春山,SpringOS,on-site,,,空,https://gitlab.eduxiji.net/T202410558994960/oskernel2025-spring,可访问,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510558995330-264,可访问,
2025,内核实现赛道（中西部区域赛）,重庆理工大学,阁下如何应队,LightenOS,main,,,空,https://gitlab.eduxiji.net/lightenos/oskernel2025-lightenos,可访问,https://gitlab.eduxiji.net/educg-group-38066-3006609/T202511660997962-2144,可访问,
2026,内核实现赛道,北京航空航天大学,DragonMilk,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026100069910232-2532,可访问,https://gitlab.eduxiji.net/T2026100069910232/oskernel2026-nos,,,,
2026,内核实现赛道,北京航空航天大学,OwnSome,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026100069910287-235,可访问,https://gitlab.eduxiji.net/T2026100069910287/oskernel2026-ownsome,,,,
2026,内核实现赛道,北京航空航天大学,我的代码都队,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026100069910651-1260,可访问,https://gitlab.eduxiji.net/T2026100069910651/oskernel2026-wddmdd2,,,,
2026,内核实现赛道,北京航空航天大学,你们说的都不队,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026100069910663-3263,可访问,https://gitlab.eduxiji.net/T2026100069910663/oskernel2026,,,,
2026,内核实现赛道,北京航空航天大学,啊对对队,,user-sys,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610006999602-2239,可访问,https://gitlab.eduxiji.net/T202610006999602/mykernalingos,,,,
2026,内核实现赛道,北京理工大学,btw,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026100079910008-777,可访问,https://gitlab.eduxiji.net/T2026100079910008/oskernel2026-ax,,,,
2026,内核实现赛道,北京科技大学,ShellCore,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610008999575-3763,可访问,https://gitlab.eduxiji.net/shellcore/oskernel2026-shellcore,,,,
2026,内核实现赛道,太原理工大学,MyGO!!!!!,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610112999587-3708,可访问,https://gitlab.eduxiji.net/T202610112999587/oskernel2026-mygo,,,,
2026,内核实现赛道,吉林大学,芒果冰美式,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610183999672-795,可访问,https://gitlab.eduxiji.net/mango_iced_americano/oskernel2026-mango,,,,
2026,内核实现赛道,哈尔滨工业大学,HITOS,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026102139911088-2824,可访问,https://gitlab.eduxiji.net/T2026102139911088/hitos,,,,
